name,manufacturing_output,agriculture_dollars,unemployment_rate,population,median_age,incarceration_rate,household_income,graduation_rate,overdose_deaths,obesity_rate,poverty_rate,religion,internet_use,default
Missouri,39.37,8914581,3.6,5988927,38.5,0.74%,50238,89,23.6,31.7%,15.5%,82%,76.6,0
Montana,3.62,3673102,4,989415,39.6,0.59%,49509,85.6,11.7,25.5%,15.2%,69%,75,0
Nebraska,13.21,21558070,2.8,1826341,36.2,0.45%,54996,89.3,6.4,32.0%,12.3%,79%,78.7,0
Nevada,6.07,596250,4.9,2700551,37.4,0.71%,52431,73.6,21.7,25.8%,15.4%,73%,78.2,0
New Hampshire,8.49,209939,2.6,1316470,42.5,0.36%,70303,88.2,39,26.6%,9.2%,60%,82.3,0
New Jersey,45.42,1025883,4.5,8791894,39.4,0.42%,72222,90.1,23.2,27.4%,11.1%,78%,77.9,0
New Mexico,3.86,2861960,5.4,2059179,37.2,0.74%,45382,71,25.2,28.3%,20.6%,79%,72.1,0
New York,71.34,5052760,4.6,19378102,38.2,0.41%,60850,80.4,18,25.5%,15.9%,72%,72.8,0
North Carolina,99.78,10576290,4.4,9535483,38.3,0.56%,47830,85.9,19.7,31.8%,17.2%,84%,70.4,0
North Dakota,3.71,8177694,2.6,672591,35.1,0.37%,60557,87.5,10.6,31.9%,11.1%,76%,72.5,0
Ohio,106,8348246,4.3,11536504,39.4,0.60%,51075,83.5,39.1,31.5%,15.8%,81%,73.6,0
Oklahoma,17.66,6189545,4,3751351,36.2,0.98%,48568,81.6,21.5,32.8%,16.6%,87%,70.7,0
Oregon,49.43,4593589,4.1,3831074,39.3,0.58%,54148,74.8,11.9,28.7%,16.4%,70%,80.5,0
Pennsylvania,84.96,6406362,4.7,12702379,40.7,0.67%,55702,86.1,37.9,30.3%,13.6%,77%,71.4,0
Rhode Island,4.59,72080,4.5,1052567,39.8,0.32%,58073,82.8,30.8,26.6%,14.8%,73%,78.9,0
South Carolina,35.16,2120309,4.2,4625364,38.8,0.68%,47238,82.6,18.1,32.3%,17.9%,85%,73.2,0
South Dakota,4.45,9339191,3.4,814180,36.6,0.63%,53017,83.9,8.4,29.6%,14.1%,81%,72.6,0
Tennessee,53.15,3296325,3.4,6346105,38.6,0.74%,47275,88.5,24.5,34.8%,18.2%,89%,69.4,0
Texas,225.78,20878502,4.1,25145561,34.3,0.84%,55653,89.1,10.1,33.7%,17.2%,86%,71.4,0
Utah,17.47,1657941,3.1,2763885,30.5,0.43%,62912,85.2,22.4,25.4%,11.8%,73%,80.6,0
Vermont,2.77,785934,2.8,625741,42.8,0.34%,56990,87.7,22.2,27.1%,12.2%,57%,82.5,0
Virginia,42.12,3338466,3.3,8001024,37.7,0.71%,66262,86.7,16.7,29.0%,11.8%,81%,78,0
Washington,58.43,9918275,4.8,6724540,37.5,0.43%,64129,79.7,14.5,28.6%,13.2%,67%,79.1,0
West Virginia,7.46,690610,5.4,1852994,41.9,0.52%,42019,89.8,52,37.7%,18.3%,86%,71.7,0
Wisconsin,56.4,10767618,2.8,5686986,39.2,0.61%,55638,88.2,19.3,30.7%,13.2%,75%,82.5,0
Wyoming,2.24,1392407,3.8,563626,36.6,0.65%,60214,80,17.6,27.7%,10.6%,77%,80,0
